날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,종목코드,index
2025-04-14,82900.0,84800.0,82700.0,84200.0,109252.0,0.8383233532934131,170486.0,2.91,0.49,28955.0,6.29,5300.0,005830,
2025-04-14,42250.0,42500.0,41250.0,41750.0,118571.0,0.3605769230769231,41655.0,6.69,1.0,6241.0,1.39,580.0,000990,
2025-04-14,8820.0,8940.0,8780.0,8890.0,224023.0,1.0227272727272727,35751.0,4.08,0.25,2180.0,6.19,550.0,139130,
2025-04-14,0.0,0.0,0.0,1284.0,0.0,0.0,566.0,0.0,2.27,0.0,0.0,0.0,099520,
2025-04-14,906.0,922.0,903.0,918.0,35805.0,1.3245033112582782,2149.0,0.0,0.43,0.0,0.0,0.0,060900,
2025-04-14,2295.0,2350.0,2270.0,2350.0,5563.0,2.3965141612200433,5438.0,0.0,0.43,0.0,0.0,0.0,290120,
2025-04-14,678.0,694.0,678.0,692.0,108327.0,1.6152716593245229,1995.0,31.45,0.35,22.0,0.0,0.0,025440,
2025-04-14,42300.0,42850.0,41350.0,42700.0,34550.0,-0.3500583430571762,28841.0,271.97,1.48,157.0,0.59,250.0,001530,
2025-04-14,30000.0,30300.0,29750.0,30000.0,25507.0,0.33444816053511706,169901.0,0.0,0.18,0.0,3.33,1000.0,000210,
2025-04-14,18900.0,19190.0,18900.0,19150.0,1166.0,0.20931449502878074,0.0,0.0,0.0,0.0,5.48,1050.0,000215,
2025-04-14,40100.0,40350.0,39300.0,40150.0,111274.0,0.24968789013732834,118750.0,8.58,0.34,4679.0,1.25,500.0,375500,
2025-04-14,25200.0,26700.0,24850.0,25450.0,2013.0,0.39447731755424065,0.0,0.0,0.0,0.0,1.96,500.0,37550L,
2025-04-14,16470.0,16690.0,16470.0,16670.0,1118.0,1.3990267639902676,0.0,0.0,0.0,0.0,3.3,550.0,37550K,
2025-04-14,0.0,0.0,0.0,6330.0,0.0,0.0,13160.0,7.64,0.48,829.0,1.42,90.0,068790,
2025-04-14,20950.0,21150.0,20300.0,20900.0,76652.0,1.4563106796116505,26478.0,3.27,0.79,6386.0,2.87,600.0,007340,
2025-04-14,4100.0,4185.0,4095.0,4140.0,4946.0,0.24213075060532688,19664.0,5.19,0.21,798.0,2.42,100.0,004840,
2025-04-14,8410.0,8410.0,8410.0,8410.0,3460196.0,29.984544049459043,3895.0,15.49,2.16,543.0,0.48,40.0,241520,
2025-04-14,4075.0,4095.0,3940.0,4040.0,68558.0,-1.3431013431013432,13467.0,3.7,0.3,1093.0,1.49,60.0,155660,
2025-04-14,3740.0,3740.0,3600.0,3675.0,88796.0,-2.3904382470119523,13555.0,4.09,0.27,899.0,1.63,60.0,069730,
2025-04-14,23250.0,25700.0,23200.0,23750.0,748007.0,3.036876355748373,15779.0,8.94,1.51,2656.0,0.0,0.0,017860,
2025-04-14,1911.0,1975.0,1900.0,1956.0,268522.0,2.3547880690737837,608.0,0.0,3.22,0.0,0.0,0.0,180400,
2025-04-14,58000.0,58500.0,57500.0,58300.0,11007.0,0.690846286701209,280943.0,1.58,0.21,36872.0,8.83,5150.0,017940,
2025-04-14,0.0,0.0,0.0,415.0,0.0,0.0,324.0,0.0,1.28,0.0,0.0,0.0,245620,
2025-04-14,6430.0,6560.0,6310.0,6420.0,53547.0,2.3923444976076556,6927.0,0.0,0.93,0.0,0.0,0.0,037370,
2025-04-14,2630.0,2660.0,2565.0,2610.0,3415.0,-0.7604562737642585,6161.0,0.0,0.42,0.0,0.0,0.0,050120,
2025-04-14,59000.0,63100.0,59000.0,62800.0,60729.0,5.723905723905724,33834.0,5.64,1.86,11144.0,2.71,1700.0,383220,
2025-04-14,11690.0,11740.0,11440.0,11740.0,2162.0,1.119724375538329,54668.0,3.75,0.21,3130.0,3.41,400.0,007700,
2025-04-14,1253.0,1321.0,1250.0,1320.0,220803.0,6.024096385542169,2272.0,0.0,0.58,0.0,0.0,0.0,214270,
2025-04-14,2530.0,2570.0,2500.0,2560.0,33526.0,1.5873015873015872,5394.0,17.3,0.47,148.0,0.0,0.0,130500,
2025-04-14,11370.0,11480.0,11370.0,11460.0,84791.0,0.17482517482517482,6658.0,16.16,1.72,709.0,3.08,353.0,114090,
